ID,Rt,Name,Train,Origin,Dest,Class,RtCl-1,RtCl-2,BL,Date,Rep Month,Rep FYR,PNR,Version,Riders,Weight,Miles,DepP,ArrP,S1,1010,1020,1025,1030,1040,1042,1044,1046,1050,1060,1070,1080,1090,1100,1110,2010,2020,2030,2040,2050,2060,2065,2070,2080,2090,2100,2110,2120,2124,2126,2130,2132,2133,2135,2140,2150,2160,2170,2180,2141,2142,2152,2162,2172,2182,2185,2190,2200,2210,2220,2410,2420,2430,2440,2450,2460,3010,3020,3030,3040,4010,4020,4030,4040,4050,4060
91693,3,Ethan Allen,291,NYP,RUD,C,03C,03A,SC,10/16/2014,201410,2015,C3B5B9,SDWF,1,66,241,0,21,3,100,100,2,NULL,NULL,NULL,NULL,NULL,50,50,100,100,80,80,100,100,NULL,100,100,70,100,1,60,70,100,100,100,100,100,NULL,100,NULL,NULL,1,100,100,60,60,90,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,100,100,50,100,100,60,80,80,80,NULL,NULL,100,100,100,100.00
91694,3,Ethan Allen,291,NYP,RUD,C,03C,03A,SC,10/18/2014,201410,2015,B1F185,SDWF,1,66,241,2,9,1,100,100,2,NULL,NULL,NULL,NULL,NULL,100,100,100,100,100,100,100,60,NULL,80,90,60,60,1,10,10,100,100,50,100,100,NULL,100,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,100,100,100,100,80,100,100,100,100,NULL,NULL,100,100,100,100.00
91695,3,Ethan Allen,291,NYP,RUD,C,03C,03A,SC,10/21/2014,201410,2015,C74B6B,SDWF,1,66,241,0,-2,1,100,100,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,100,NULL,100,100,100,100,1,100,100,100,100,100,100,100,NULL,100,NULL,NULL,1,100,100,100,70,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,100,100,100,100,NULL,NULL,100,100,100,100.00
91696,3,Ethan Allen,293,NYP,SAR,C,03C,03A,SC,10/3/2014,201410,2015,ADABE4,SDWF,1,66,178,0,44,1,100,70,2,NULL,NULL,NULL,NULL,NULL,80,80,50,100,100,100,80,80,NULL,80,80,80,80,1,70,80,90,90,90,20,40,NULL,90,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,90,90,90,90,NULL,NULL,80,60,70,65.00
91697,3,Ethan Allen,291,NYP,SAR,C,03C,03A,SC,10/5/2014,201410,2015,B456B7,SDWF,1,66,178,2,2,1,100,100,2,NULL,NULL,NULL,NULL,NULL,100,100,100,100,70,70,90,80,NULL,80,80,80,80,1,80,70,100,100,100,100,100,NULL,100,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,80,80,80,80,80,80,NULL,NULL,80,NULL,NULL,70,80,70,75.00
91698,3,Ethan Allen,291,NYP,SAR,C,03C,03A,SC,10/9/2014,201410,2015,AFBBBB,SDWF,1,66,178,0,5,2,50,80,2,NULL,NULL,NULL,NULL,NULL,50,50,100,50,40,80,80,90,NULL,90,90,90,90,1,80,30,50,40,30,30,70,NULL,90,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,10,0,0,0,80,20,20,40,NULL,NULL,40,60,60,60.00
91699,3,Ethan Allen,291,NYP,SAR,C,03C,03A,SC,10/16/2014,201410,2015,98A10E,SDWF,1,66,178,0,25,2,100,100,2,NULL,NULL,NULL,NULL,NULL,100,100,80,100,80,90,90,100,NULL,100,100,100,80,1,40,40,80,70,80,90,100,NULL,100,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,80,80,60,90,40,100,NULL,NULL,100,NULL,NULL,80,90,100,95.00
91700,3,Ethan Allen,291,NYP,SAR,C,03C,03A,SC,10/16/2014,201410,2015,B8B691,SDWF,1,66,178,0,25,1,80,90,2,NULL,NULL,NULL,NULL,NULL,100,90,100,100,90,90,100,100,NULL,100,100,100,100,1,100,100,NULL,60,90,50,90,NULL,100,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,100,NULL,NULL,90,100,100,100.00
91701,3,Ethan Allen,291,NYP,SAR,C,03C,03A,SC,10/19/2014,201410,2015,B59BA4,SDWF,1,66,178,3,5,2,20,70,2,NULL,NULL,NULL,NULL,NULL,100,100,100,100,100,100,100,90,NULL,80,80,80,80,1,80,80,20,NULL,80,90,90,NULL,90,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,100,100,100,100,100,100,NULL,NULL,70,NULL,NULL,50,60,70,65.00
91702,3,Ethan Allen,291,NYP,SAR,C,03C,03A,SC,10/21/2014,201410,2015,CDF438,SDWF,1,66,178,0,0,2,100,50,1,100,NULL,NULL,NULL,NULL,100,100,100,100,70,70,80,70,NULL,100,100,90,90,2,NULL,NULL,80,70,100,30,100,NULL,80,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,100,80,100,90.00
